version,filename,header,obj,endobj,stream,endstream,xref,trailer,startxref,/Page,/Encrypt,/ObjStm,/JS,/JavaScript,/AA,/OpenAction,/AcroForm,/JBIG2Decode,/RichMedia,/Launch,/EmbeddedFile,/XFA,/Colors > 2^24,/JavaScript_hexcode_count,/RichMedia_hexcode_count,/EmbeddedFile_hexcode_count,/ObjStm_hexcode_count,/Encrypt_hexcode_count,/OpenAction_hexcode_count,/Page_hexcode_count,/JS_hexcode_count,/AcroForm_hexcode_count,/XFA_hexcode_count,/Launch_hexcode_count,/JBIG2Decode_hexcode_count,/AA_hexcode_count,Malware
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_08eace86848db2b217311a3d47608c80_87030,%PDF-1.6,22,22,19,19,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_8f05b9563efca102564ba9092db5215f_121087,%PDF-1.5,28,28,7,7,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_9aa2713f9b1604c5545fbaa2e7379bfa_121049,%PDF-1.5,28,28,7,7,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_9c906fdbc212ac0365407389b329a809_225568,%PDF-1.3,12,12,6,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_9d58f121d2e136e367be486db8cd0925_120568,%PDF-1.5,28,28,7,7,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_9dd4b95f0bcc9f5523e0b73cac0cd606_38053,%PDF-1.7,21,21,5,5,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_9ee20c7cba0478345cce8666274c6dc4_10290,%PDF-1.4,22,22,5,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_9fffc59ebb0f9f165f2bec7ae3a37ae6_56916,%PDF-1.4,22,22,10,10,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_10d816e0e5f41939429023d9c99d7bdc_820399,%PDF-1.3,41,41,9,9,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
0.2.7,../../dataset/AllPDF/zx_benign_pdf/md5_13b50454752100c74e99e31f4391fd6b_67498,%PDF-1.6,17,17,11,11,0,0,1,1,0,6,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,0
